scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
mixture_gaussian_quadratic_MCAR,NM+MLP_d5_noact,0.26255023,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NMwide+MLP_d3_ef3,0.3084628,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NMwide+MLP_d5_ef3,0.31181234,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP_128x64x32,0.44241065,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.06390041,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+A_gelu_d5,0.53865194,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d5_ef3,0.58727765,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h64,0.5687252,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h64x32,0.61264884,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d5_h128x64,0.58671975,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h128x64x32,0.6093967,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d5_noact,0.615582,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NMwide+MLP_d3_ef3,0.57499635,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NMwide+MLP_d5_ef3,0.59569454,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP_128x64x32,0.717005,1,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,0.29160464,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+A_gelu_d5,0.4752658,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d5_ef3,0.5610124,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h64,0.5610295,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h64x32,0.5993399,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d5_h128x64,0.5750199,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h128x64x32,0.5528407,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d5_noact,0.5451038,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NMwide+MLP_d3_ef3,0.51878583,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NMwide+MLP_d5_ef3,0.55680454,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,ImputeMLP_128x64x32,0.66357046,2,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.3209564,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+A_gelu_d5,0.30011946,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d5_ef3,0.36169696,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h64,0.35364914,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h64x32,0.38037306,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d5_h128x64,0.34530252,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h128x64x32,0.3666721,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d5_noact,0.3212567,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NMwide+MLP_d3_ef3,0.35430944,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NMwide+MLP_d5_ef3,0.3721583,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP_128x64x32,0.4793511,0,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.39343423,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+A_gelu_d5,0.46019375,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d5_ef3,0.58851373,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h64,0.5427152,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h64x32,0.59244215,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d5_h128x64,0.6148213,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h128x64x32,0.63314575,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d5_noact,0.63951087,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NMwide+MLP_d3_ef3,0.60822785,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NMwide+MLP_d5_ef3,0.6438892,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,ImputeMLP_128x64x32,0.7423517,1,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NeuMiss_d5,0.32793856,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+A_gelu_d5,0.44693393,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+C_gelu_d5_ef3,0.535655,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h64,0.53450274,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h64x32,0.58930993,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d5_h128x64,0.52327764,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d3_h128x64x32,0.560073,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NM+MLP_d5_noact,0.5691438,2,mixture_gaussian,cubic,MCAR,success
mixture_gaussian_cubic_MCAR,NMwide+MLP_d3_ef3,0.5554051,2,mixture_gaussian,cubic,MCAR,success
