scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
gaussian_quadratic_MNAR_selfmasking,ImputeMLP,0.7562047,0,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NeuMiss_d5,0.50271195,1,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM+C_gelu_d3,0.5812535,1,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM-Encoder_d3,0.60935783,1,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,ImputeMLP,0.620527,1,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NeuMiss_d5,0.6628559,2,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM+C_gelu_d3,0.7704453,2,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM-Encoder_d3,0.79004097,2,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,ImputeMLP,0.79036397,2,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NeuMiss_d5,0.44451183,3,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM+C_gelu_d3,0.5713786,3,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM-Encoder_d3,0.6218443,3,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,ImputeMLP,0.63114095,3,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NeuMiss_d5,0.3878082,4,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM+C_gelu_d3,0.4621395,4,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM-Encoder_d3,0.45363766,4,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,ImputeMLP,0.49722952,4,gaussian,quadratic,MNAR_selfmasking,success
